brand,model,model_year,milage,fuel_type,ext_col,int_col,accident,horse_power,displacement_L,cylinder,transmission_clean
bmw,X5 Xdrive35I,2018,25348,gasoline,Imperial Blue Metallic,Black,Accident Reported,310.0,3.0,6.0,Automatic
bmw,340 I,2016,117660,gasoline,White,Black,Accident Reported,320.0,3.0,6.0,Automatic
ford,Expedition Max,2018,105674,gasoline,White,Beige,None reported,375.0,3.5,6.0,Automatic
ford,Explorer Limited,2020,82146,gasoline,Gray,Ebony,None reported,310.0,2.3,6.0,Automatic
lexus,Is-F Base,2010,77400,gasoline,White,Red,Accident Reported,416.0,5.0,8.0,Automatic
buick,Enclave Essence,2020,55403,gasoline,Red,Gray,Accident Reported,310.0,3.6,6.0,Automatic
mazda,Cx-30 2.5,2022,4004,gasoline,Black,Black,None reported,186.0,2.5,4.0,Automatic
volkswagen,Eurovan Mv,2001,111887,gasoline,Blue,Gray,None reported,140.0,2.8,6.0,Automatic
cadillac,Deville Base,1994,47000,unknown,White,Blue,None reported,310.0,3.5,6.0,Automatic
toyota,Avalon Limited,2006,89987,gasoline,Green,Beige,None reported,268.0,3.5,6.0,Automatic
hyundai,Santa Fe,2022,13610,gasoline,Stormy Sea,Black,None reported,310.0,2.5,6.0,Automatic
hyundai,Sonata Hybrid,2012,154000,hybrid,Green,Gray,Accident Reported,206.0,2.4,4.0,Automatic
mercedes-benz,Gl-Class Gl,2012,174000,gasoline,Black,Black,Accident Reported,335.0,4.6,8.0,Automatic
land,Rover Range,2020,37248,hybrid,Silver,Black,None reported,395.0,3.0,6.0,Automatic
acura,Integra Gs-R,1995,123000,unknown,White,Blue,None reported,310.0,3.5,6.0,Manual
ford,Focus St,2013,20800,gasoline,Yellow,Gray,None reported,252.0,2.0,4.0,Manual
toyota,Tundra Sr5,2019,56000,gasoline,Blue,Black,None reported,381.0,5.7,8.0,Automatic
audi,A3 2.0T,2017,137000,gasoline,White,Gray,None reported,186.0,2.0,4.0,Automatic
audi,Q5 3.0,2014,55564,diesel,Black,Black,Accident Reported,240.0,3.0,6.0,Automatic
jeep,Wagoneer Series,2022,17381,gasoline,Velvet Red Pearlcoat,Global Black,None reported,310.0,5.7,6.0,Automatic
gmc,Yukon Slt,2015,94500,gasoline,White,Beige,Accident Reported,355.0,5.3,8.0,Automatic
volkswagen,Golf Auto,2015,107543,gasoline,Black,Black,None reported,170.0,1.8,4.0,unknown
tesla,Model 3,2021,33000,unknown,Red,White,None reported,455.0,3.5,6.0,Automatic
volkswagen,Golf Gti,2019,33000,gasoline,Black,Black,None reported,228.0,2.0,4.0,Manual
maserati,Levante S,2017,54423,gasoline,Black,Black,None reported,424.0,3.0,6.0,Automatic
lexus,Is-F Base,2008,75000,gasoline,Blue,Black,Accident Reported,416.0,5.0,8.0,Automatic
bmw,X5 Phev,2022,31850,plug-in hybrid,White,Black,None reported,389.0,3.0,6.0,unknown
chevrolet,Ssr Base,2003,87500,gasoline,Red,Black,None reported,300.0,5.3,8.0,Automatic
ford,Mustang Gt,1998,49170,gasoline,Silver,Black,None reported,225.0,4.6,8.0,Automatic
ford,Ranger Xlt,2002,192100,gasoline,Gold,Beige,Accident Reported,207.0,4.0,6.0,Automatic
audi,A5 2.0T,2015,82000,gasoline,White,Brown,None reported,220.0,2.0,4.0,Automatic
audi,Q5 2.0T,2015,118500,e85 flex fuel,Silver,Black,Accident Reported,220.0,2.0,4.0,Automatic
toyota,Tacoma Prerunner,2011,149000,gasoline,Black,Beige,None reported,236.0,4.0,6.0,Automatic
ford,Transit-350 Xlt,2015,143000,gasoline,Silver,Gray,None reported,275.0,3.7,6.0,Automatic
acura,Rdx Base,2018,68425,gasoline,Gray,–,Accident Reported,279.0,3.5,6.0,Automatic
mazda,Mazda3 Grand,2018,15175,gasoline,Snowflake White Pearl Metallic,Parchment,Accident Reported,310.0,2.5,6.0,Automatic
ford,Mustang Gt,2008,64500,gasoline,Black,Red,Accident Reported,300.0,4.6,8.0,Manual
bmw,M8 Base,2020,25520,gasoline,Brands Hatch Gray Metallic,Black,None reported,310.0,4.4,6.0,Automatic
bmw,530 I,2017,37000,gasoline,Gray,Black,None reported,248.0,2.0,4.0,Automatic
plymouth,Prowler Base,2001,22300,gasoline,Blue,Gray,None reported,253.0,3.5,6.0,Automatic
mercedes-benz,E-Class E500,2005,153460,gasoline,Gold,Gold,Accident Reported,302.0,5.0,8.0,Automatic
mercedes-benz,Gl-Class Gl,2011,93000,gasoline,Gray,Beige,Accident Reported,335.0,4.7,8.0,Automatic
porsche,911 Carrera,2015,43500,gasoline,Black,Black,None reported,350.0,3.4,6.0,Automatic
porsche,Cayenne Turbo,2014,99100,gasoline,White,Black,None reported,550.0,4.8,8.0,Automatic
bmw,M3 Base,2001,66500,gasoline,Red,Black,None reported,333.0,3.2,6.0,Manual
chevrolet,Camaro 2Ss,2023,2300,gasoline,Red,Black,None reported,455.0,6.2,8.0,Manual
tesla,Model X,2017,94100,unknown,Black,Orange,Accident Reported,518.0,3.5,6.0,Automatic
ford,Mustang Gt,2019,10400,gasoline,Red,Gray,None reported,460.0,5.0,8.0,Automatic
dodge,Dart Se,2015,66000,gasoline,Black,Black,None reported,160.0,2.0,4.0,Manual
mitsubishi,Lancer Evolution,2003,61491,gasoline,Blue,Black,Accident Reported,271.0,2.0,4.0,Manual
bmw,435 I,2014,80211,gasoline,Gray,Red,Accident Reported,300.0,3.0,6.0,Automatic
bmw,M850 I,2019,9949,gasoline,Blue,Black,None reported,310.0,4.4,6.0,Automatic
toyota,Avalon Xls,2004,90625,gasoline,Gray,Gray,None reported,210.0,3.0,6.0,Automatic
nissan,Altima 2.5,2012,91545,gasoline,Silver,Black,None reported,175.0,2.5,4.0,CVT
jeep,Wrangler Unlimited,2017,84786,gasoline,Gray,Black,None reported,285.0,3.6,6.0,Automatic
bmw,750 I,2015,70700,gasoline,Blue,Black,Accident Reported,445.0,4.4,8.0,Automatic
mercedes-benz,Eqs 450+,2022,16238,unknown,White,Beige,None reported,329.0,3.5,6.0,Automatic
nissan,Pathfinder Sl,2015,115000,gasoline,Gray,Black,None reported,260.0,3.5,6.0,Automatic
bmw,435 I,2015,34455,gasoline,Gray,Beige,None reported,300.0,3.0,6.0,Automatic
honda,Civic Ex,2013,107000,gasoline,Silver,Black,None reported,140.0,1.8,4.0,Automatic
nissan,300Zx Base,1993,168000,unknown,White,Black,None reported,310.0,3.5,6.0,Manual
jaguar,F-Pace S,2020,35580,gasoline,Eiger Grey Metallic,Ebony/Light Oyster Stitch,None reported,310.0,3.0,6.0,Automatic
lincoln,Mkx Base,2010,156000,gasoline,Black,Black,Accident Reported,265.0,3.5,6.0,Automatic
ford,Bronco Sport,2021,30176,gasoline,Black,Medium Dark Slate,None reported,310.0,1.5,6.0,Automatic
toyota,Tundra Limited,2010,89400,gasoline,White,Gray,None reported,381.0,5.7,8.0,Automatic
gmc,Terrain Sle,2010,81500,gasoline,Brown,Gray,None reported,182.0,2.4,4.0,Automatic
ford,Mustang Svt,2003,97496,gasoline,Gray,Gray,None reported,390.0,4.6,8.0,Manual
bmw,335 I,2011,73000,gasoline,Red,Beige,None reported,300.0,3.0,6.0,unknown
nissan,Pathfinder S,2017,145000,gasoline,Silver,Gray,Accident Reported,284.0,3.5,6.0,Automatic
gmc,Sierra 1500,2022,100,diesel,White,Black,None reported,277.0,3.0,6.0,Automatic
ford,Bronco Outer,2022,12000,gasoline,Gray,Brown,Accident Reported,315.0,2.7,6.0,Automatic
audi,Tt 2.0T,2015,126760,gasoline,Black,Black,Accident Reported,211.0,2.0,4.0,Automatic
lexus,Ls 500,2018,15055,gasoline,White,Black,None reported,416.0,3.5,6.0,Automatic
mini,Hardtop Cooper,2016,41680,gasoline,Silver,Black,None reported,189.0,2.0,4.0,Automatic
mercury,Capri Xr2,1993,120644,unknown,Green,Gray,None reported,310.0,3.5,6.0,Manual
bmw,430 I,2021,16900,gasoline,Blue,White,None reported,255.0,2.0,4.0,Automatic
audi,A4 2.0T,2011,90818,gasoline,White,Black,Accident Reported,211.0,2.0,4.0,Automatic
chevrolet,Camaro 2Ss,2022,7458,gasoline,Red,Black,None reported,455.0,6.2,8.0,Manual
bmw,M3 Base,2001,60000,gasoline,Black,Gray,None reported,333.0,3.2,6.0,Manual
cadillac,Escalade Premium,2010,104000,e85 flex fuel,Gray,–,None reported,403.0,6.2,8.0,Automatic
buick,Envision Preferred,2021,20104,gasoline,Burnished Bronze Metallic,Ebony,None reported,310.0,2.0,6.0,Automatic
nissan,Gt-R Black,2015,16850,gasoline,White,Black,None reported,545.0,3.8,6.0,unknown
audi,Q5 S,2023,6682,hybrid,Mythos Black Metallic,Rock Gray,None reported,310.0,2.0,6.0,Automatic
ford,Explorer St,2022,10500,gasoline,Black,Black,None reported,400.0,3.0,6.0,unknown
ford,Taurus Sho,2014,138415,gasoline,Silver,Black,Accident Reported,365.0,3.5,6.0,Automatic
mazda,Mazda6 I,2016,119500,gasoline,Silver,Black,None reported,184.0,2.5,4.0,unknown
bmw,535 I,2011,100780,gasoline,Gray,Black,Accident Reported,300.0,3.0,6.0,Automatic
kia,Stinger Gt1,2019,37226,gasoline,Snow White Pearl,Black,None reported,310.0,3.3,6.0,Automatic
honda,Odyssey Lx,2011,185000,gasoline,Purple,–,None reported,248.0,3.5,6.0,Automatic
gmc,Yukon Sle,2017,96000,gasoline,Gray,Black,None reported,355.0,5.3,8.0,Automatic
ford,Bronco Sport,2021,28105,gasoline,Kodiak Brown Metallic,Ebony,None reported,310.0,1.5,6.0,Automatic
ford,Maverick Lariat,2022,13700,hybrid,Blue,Brown,None reported,191.0,2.5,4.0,CVT
kia,K5 Ex,2021,8263,gasoline,Gray,White,None reported,180.0,1.6,4.0,Automatic
gmc,Yukon Xl,2017,47589,gasoline,Black,Black,None reported,355.0,5.3,8.0,Automatic
ram,1500 Longhorn,2023,4285,gasoline,Delmonico Red Pearlcoat,Black / Saddle,None reported,310.0,5.7,6.0,Automatic
toyota,Tundra Hybrid,2022,19000,hybrid,Orange,Black,None reported,437.0,3.4,6.0,Automatic
honda,Civic Lx,2016,111000,gasoline,Blue,Black,None reported,158.0,2.0,4.0,Automatic
land,Rover Discovery,2004,145000,gasoline,Green,Beige,None reported,217.0,4.6,8.0,Automatic
honda,Cr-V Touring,2019,55100,gasoline,White,Gray,None reported,310.0,1.5,6.0,CVT
kia,Optima Lx,2019,62660,gasoline,White,Black,None reported,185.0,2.4,4.0,Automatic
ford,F-350 Xl,2017,156453,diesel,White,Beige,None reported,440.0,6.7,8.0,Automatic
chevrolet,Trailblazer Rs,2022,42479,gasoline,Mosaic Black Metallic,Jet Black,None reported,310.0,1.3,6.0,Automatic
maserati,Granturismo Sport,2015,32000,gasoline,Beige,Brown,None reported,454.0,4.7,8.0,Automatic
mercedes-benz,Cls-Class Cls,2012,79000,gasoline,Black,Black,None reported,402.0,4.6,8.0,Automatic
bmw,M240 I,2019,19300,gasoline,White,Red,None reported,335.0,3.0,6.0,Automatic
volvo,Xc90 3.2,2008,196000,gasoline,Black,Beige,None reported,235.0,3.2,6.0,Automatic
honda,Accord Ex-L,2009,167300,gasoline,Silver,Black,None reported,190.0,2.4,4.0,Automatic
porsche,718 Cayman,2018,16280,gasoline,Red,Black,None reported,365.0,2.5,4.0,unknown
porsche,Cayenne Base,2016,110000,gasoline,White,White,Accident Reported,300.0,3.6,6.0,Automatic
gmc,Yukon Denali,2016,107750,gasoline,Black,Black,None reported,420.0,6.2,8.0,Automatic
ford,Excursion Limited,2001,333361,diesel,Black,Beige,Accident Reported,250.0,7.3,8.0,Automatic
chevrolet,Corvette Stingray,2020,1800,gasoline,Blue,Black,None reported,490.0,6.2,8.0,Automatic
audi,A7 3.0T,2013,87066,gasoline,Silver,Black,None reported,310.0,3.0,6.0,Automatic
land,Rover Range,2014,59500,e85 flex fuel,Red,Black,None reported,340.0,3.0,6.0,Automatic
bmw,535 I,2011,135000,gasoline,Blue,Beige,None reported,300.0,3.0,6.0,Automatic
hyundai,Palisade Calligraphy,2023,1500,gasoline,Green,Black,None reported,291.0,3.8,6.0,unknown
mercedes-benz,S-Class S,2016,72784,gasoline,Blue,White,None reported,449.0,4.7,8.0,Automatic
bmw,440 I,2018,73500,gasoline,Black,Blue,None reported,320.0,3.0,6.0,Automatic
ford,Mustang V6,2016,87248,gasoline,Black,Black,None reported,300.0,3.7,6.0,Automatic
bmw,M760 I,2019,14806,gasoline,Black,Black,Accident Reported,601.0,6.6,12.0,unknown
toyota,Tundra Hybrid,2023,200,hybrid,Blue,White,None reported,437.0,3.4,6.0,Automatic
hyundai,Sonata Sport,2015,82900,gasoline,Black,Black,Accident Reported,245.0,2.0,4.0,Automatic
ford,Bronco Big,2022,17000,gasoline,Gray,–,None reported,275.0,2.3,4.0,Automatic
ford,Explorer Xlt,2020,42609,gasoline,Magnetic Metallic,Ebony,Accident Reported,310.0,2.3,6.0,Automatic
cadillac,Xt5 Luxury,2017,72060,gasoline,Stellar Black Metallic,Shara Beige,None reported,310.0,3.6,6.0,Automatic
bmw,M3 Cs,2018,38000,gasoline,White,Black,None reported,453.0,3.0,6.0,Automatic
volvo,Xc90 Hybrid,2018,40000,plug-in hybrid,Black,Black,None reported,400.0,2.0,4.0,unknown
mercedes-benz,Amg Gt,2017,19324,gasoline,Gray,Beige,None reported,456.0,4.0,8.0,unknown
hyundai,Genesis Coupe,2016,45303,gasoline,White,Black,None reported,348.0,3.8,6.0,Automatic
porsche,911 Carrera,2014,36670,gasoline,White,Black,None reported,400.0,3.8,6.0,unknown
toyota,Sequoia Limited,2011,183000,gasoline,Gold,Beige,None reported,381.0,5.7,8.0,Automatic
lincoln,Navigator Reserve,2020,68000,gasoline,Black,Gray,Accident Reported,450.0,3.5,6.0,Automatic
ford,F-250 Limited,2018,64000,diesel,Red,Beige,None reported,450.0,6.7,8.0,Automatic
tesla,Model X,2020,25535,unknown,White,Beige,None reported,778.0,3.5,6.0,Automatic
chevrolet,Silverado 1500,2002,118500,gasoline,Silver,Black,Accident Reported,285.0,5.3,8.0,Automatic
audi,A6 3.0T,2016,71280,gasoline,Silver,Black,None reported,333.0,3.0,6.0,Automatic
audi,A3 2.0T,2012,111564,gasoline,White,Black,None reported,200.0,2.0,4.0,Automatic
chevrolet,Corvette Base,2003,145000,gasoline,Blue,Black,None reported,350.0,5.7,8.0,Automatic
ram,1500 Trx,2022,24058,gasoline,Flame Red Clearcoat,BLACK,None reported,310.0,6.2,6.0,Automatic
toyota,Gr86 Premium,2023,1075,gasoline,White,Black,None reported,228.0,2.4,4.0,Manual
chevrolet,Silverado 2500,2016,84421,e85 flex fuel,White,Black,None reported,360.0,6.0,8.0,Automatic
volvo,V60 Cross,2020,10500,gasoline,White,Black,None reported,250.0,2.0,4.0,Automatic
gmc,Sierra 2500,2022,31681,gasoline,Cayenne Red Tintcoat,Jet Black,Accident Reported,310.0,6.6,6.0,Automatic
acura,Tlx Type,2023,1798,gasoline,Black,Black,None reported,355.0,3.0,6.0,Automatic
dodge,Ram 1500,2002,179000,gasoline,Black,Black,Accident Reported,245.0,5.9,8.0,Automatic
jaguar,Xf 35T,2017,48000,gasoline,Red,Black,Accident Reported,340.0,3.0,6.0,Automatic
ford,Mustang V6,2016,54000,gasoline,White,Black,None reported,300.0,3.7,6.0,Automatic
ram,1500 Laramie,2022,13438,gasoline,Diamond Black,Black,None reported,310.0,5.7,6.0,Automatic
cadillac,Escalade Esv,2017,93971,gasoline,White,Beige,None reported,420.0,6.2,8.0,Automatic
audi,S5 4.2,2011,156875,gasoline,Black,Red,Accident Reported,354.0,4.2,8.0,Manual
lexus,Es 350,2016,39700,gasoline,White,Beige,None reported,268.0,3.5,6.0,Automatic
mitsubishi,Outlander Sel,2022,11700,gasoline,White,Black,None reported,181.0,2.5,4.0,Automatic
infiniti,Qx60 Base,2017,89106,gasoline,White,Beige,None reported,295.0,3.5,6.0,unknown
gmc,Terrain Slt,2010,32652,gasoline,Red,Brown,None reported,182.0,2.4,4.0,Automatic
bmw,550 I,2016,76400,gasoline,Black,Black,Accident Reported,445.0,4.4,8.0,Automatic
tesla,Model S,2016,102260,unknown,White,Black,None reported,518.0,3.5,6.0,Automatic
ford,F-350 King,2015,92421,diesel,White,Brown,None reported,440.0,6.7,8.0,Automatic
jeep,Wrangler Se,2003,92000,gasoline,Gold,Black,None reported,150.0,2.4,4.0,Manual
chevrolet,Camaro 2Ss,2015,27000,gasoline,Black,Beige,None reported,426.0,6.2,8.0,unknown
dodge,Challenger R/T,2010,73000,unknown,Black,Black,None reported,310.0,3.5,6.0,Automatic
mercedes-benz,Metris Base,2020,14000,gasoline,Black,Beige,None reported,208.0,2.0,4.0,Automatic
toyota,Rav4 Trd,2020,46500,gasoline,White,Black,None reported,203.0,2.5,4.0,Automatic
toyota,Matrix Xr,2004,173452,gasoline,Silver,Black,Accident Reported,130.0,1.8,4.0,Automatic
cadillac,Xts Premium,2013,56860,gasoline,White Diamond Tri-Coat,Shale,Accident Reported,310.0,3.6,6.0,Automatic
chevrolet,Impala Base,2004,64500,gasoline,Beige,Beige,None reported,180.0,3.4,6.0,Automatic
bmw,X6 M50I,2022,22500,gasoline,Black,–,Accident Reported,523.0,4.4,8.0,unknown
ford,Ecosport Ses,2019,106000,gasoline,Silver,Black,Accident Reported,166.0,2.0,4.0,Automatic
hyundai,Genesis 4.6,2010,120321,gasoline,White,Beige,None reported,378.0,4.6,8.0,unknown
nissan,Pathfinder S,2014,135000,gasoline,White,Brown,None reported,260.0,3.5,6.0,Automatic
audi,S4 3.0T,2019,18603,gasoline,Brilliant Black,Black,None reported,310.0,3.0,6.0,Automatic
jeep,Wrangler Unlimited,2020,68816,gasoline,Black Clearcoat,Black,None reported,310.0,2.0,6.0,Automatic
gmc,Sierra 1500,2013,230000,e85 flex fuel,White,Black,None reported,315.0,5.3,8.0,Automatic
jaguar,Xf 3.0,2015,71290,gasoline,Brown,Black,Accident Reported,340.0,3.0,6.0,Automatic
nissan,Frontier Se,2006,134000,gasoline,Gray,Gray,Accident Reported,265.0,4.0,6.0,Automatic
bmw,X7 Xdrive40I,2022,38671,hybrid,Gray,Blk,None reported,310.0,3.0,6.0,Automatic
volvo,S60 T5,2015,39000,gasoline,Silver,Gray,Accident Reported,250.0,2.5,5.0,unknown
mercedes-benz,C-Class C,2016,90189,gasoline,White,–,Accident Reported,241.0,2.0,4.0,Automatic
cadillac,Escalade Esv,2015,159500,gasoline,Black,Black,Accident Reported,420.0,6.2,8.0,Automatic
alfa,Romeo Giulia,2018,28644,gasoline,Black,Black,None reported,505.0,2.9,6.0,Automatic
audi,Q3 2.0T,2015,155382,gasoline,Brown,Gray,Accident Reported,200.0,2.0,4.0,Automatic
mercedes-benz,Amg C,2017,28399,gasoline,Gray,Black,None reported,469.0,4.0,8.0,Automatic
jeep,Wrangler Sahara,2008,54000,gasoline,Green,Gray,None reported,202.0,3.8,6.0,Automatic
volvo,C30 T5,2013,73000,gasoline,Silver,Black,None reported,227.0,2.5,5.0,Automatic
land,Rover Range,2020,59355,gasoline,Santorini Black,Ebony / Pimento,None reported,310.0,3.5,6.0,Automatic
lotus,Evora 2+2,2011,20000,gasoline,White,Red,None reported,276.0,3.5,6.0,Manual
mercedes-benz,Clk-Class Clk,2008,93000,gasoline,White,Beige,Accident Reported,268.0,3.5,6.0,Automatic
porsche,Panamera 4,2018,24882,gasoline,White,Black,None reported,330.0,3.0,6.0,unknown
ford,Expedition Max,2021,37594,gasoline,Black,Mesa,None reported,310.0,3.5,6.0,Automatic
hyundai,Accent Gls,2014,127941,gasoline,Silver,Gray,None reported,138.0,1.6,4.0,Automatic
porsche,Taycan Base,2021,6900,unknown,White,Beige,None reported,375.0,3.5,6.0,Automatic
jeep,Wrangler Sport,2002,103500,gasoline,Yellow,Gray,None reported,190.0,4.0,6.0,Manual
chevrolet,Express 1500,2004,152000,gasoline,White,Gray,Accident Reported,195.0,4.3,6.0,Automatic
porsche,Cayenne Turbo,2017,70800,gasoline,White,Black,None reported,520.0,4.8,8.0,unknown
chevrolet,Trax Ls,2020,20800,gasoline,Black,Beige,None reported,138.0,1.4,4.0,Automatic
lexus,Rx 350,2022,11238,gasoline,Atomic Silver,Black,None reported,310.0,3.5,6.0,Automatic
ford,F-250 Xl,2021,77699,diesel,White,Medium Earth Gray,None reported,310.0,6.7,6.0,Automatic
audi,A6 3.0T,2015,108000,gasoline,Black,Brown,None reported,310.0,3.0,6.0,unknown
scion,Tc Anniversary,2014,115000,gasoline,Silver,Silver,None reported,179.0,2.5,4.0,Manual
porsche,911 Carrera,1995,49900,unknown,Silver,Gray,Accident Reported,310.0,3.5,6.0,Manual
jeep,Gladiator Overland,2021,7388,gasoline,Firecracker Red Clearcoat,Black,None reported,310.0,3.6,6.0,Automatic
ford,F-350 Xlt,2013,31000,e85 flex fuel,Black,Gray,Accident Reported,316.0,6.2,8.0,Automatic
hummer,H2 Base,2005,110900,gasoline,Gray,Black,None reported,325.0,6.0,8.0,Automatic
honda,Accord Sport,2013,405000,gasoline,Black,Black,None reported,185.0,2.4,4.0,CVT
